                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.99815,                0.80207,                 1.2013,                0.88599,                0.91307,                0.94429,                0.72437,                0.88372,                0.48866,                 1.1482,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0008,                0.80291,                 1.1999,                0.88571,                0.91268,                0.94461,                0.72603,                0.88244,                0.48609,                 1.1483,               0.006634,               0.006634,               0.006634
                     70,                 1.0032,                0.80042,                 1.2015,                0.88758,                0.91359,                 0.9453,                0.72851,                0.88016,                 0.4841,                 1.1471,              0.0065845,              0.0065845,              0.0065845
                     71,                0.99486,                0.79137,                 1.2024,                 0.8911,                0.91213,                0.94543,                0.72916,                0.87818,                0.48219,                 1.1457,               0.006535,               0.006535,               0.006535
                     72,                0.98783,                0.79295,                 1.2002,                0.89307,                0.91236,                0.94636,                0.73006,                0.87603,                 0.4792,                 1.1443,              0.0064855,              0.0064855,              0.0064855
                     73,                0.99402,                0.78701,                 1.1972,                0.88981,                0.91688,                0.94726,                0.73139,                0.87486,                0.47666,                 1.1434,               0.006436,               0.006436,               0.006436
                     74,                0.98885,                0.77814,                 1.1959,                 0.8903,                0.91691,                0.94792,                0.73231,                0.87277,                0.47465,                 1.1417,              0.0063865,              0.0063865,              0.0063865
                     75,                0.98856,                 0.7781,                 1.1973,                0.89053,                0.91855,                0.94884,                0.73338,                0.87077,                0.47185,                 1.1405,               0.006337,               0.006337,               0.006337
                     76,                0.98757,                0.77015,                  1.198,                0.89168,                 0.9199,                0.94975,                0.73436,                0.86926,                0.46969,                 1.1396,              0.0062875,              0.0062875,              0.0062875
                     77,                0.99306,                0.77842,                 1.1978,                0.89248,                0.91934,                0.95012,                0.73483,                0.86822,                0.46925,                 1.1394,               0.006238,               0.006238,               0.006238
                     78,                0.99012,                0.77298,                 1.1961,                 0.8931,                0.92092,                0.95074,                0.73607,                0.86671,                0.46683,                 1.1383,              0.0061885,              0.0061885,              0.0061885
                     79,                0.97992,                0.76394,                 1.1896,                0.88954,                0.92554,                0.95095,                0.73711,                0.86482,                0.46534,                  1.137,               0.006139,               0.006139,               0.006139
                     80,                 0.9877,                0.77018,                 1.1941,                0.89209,                0.92476,                0.95169,                0.73814,                0.86316,                0.46465,                 1.1361,              0.0060895,              0.0060895,              0.0060895
                     81,                0.98575,                0.76926,                 1.1942,                0.89426,                0.92432,                0.95189,                0.73838,                0.86118,                0.46342,                 1.1347,                0.00604,                0.00604,                0.00604
                     82,                0.97896,                0.75193,                 1.1894,                0.89581,                0.92385,                0.95205,                 0.7393,                0.86001,                0.46253,                 1.1341,              0.0059905,              0.0059905,              0.0059905
                     83,                0.98351,                0.75616,                 1.1916,                0.89723,                0.92449,                0.95221,                0.74019,                0.85858,                0.46051,                 1.1328,               0.005941,               0.005941,               0.005941
                     84,                0.97582,                0.75601,                 1.1901,                0.89579,                0.92547,                0.95252,                0.74098,                0.85654,                0.45976,                 1.1315,              0.0058915,              0.0058915,              0.0058915
                     85,                0.97455,                0.75821,                 1.1883,                0.89751,                0.92527,                0.95316,                0.74179,                0.85526,                0.45868,                 1.1302,               0.005842,               0.005842,               0.005842
                     86,                0.96669,                0.74373,                 1.1825,                0.89802,                0.92533,                0.95324,                0.74228,                0.85392,                0.45775,                 1.1294,              0.0057925,              0.0057925,              0.0057925
                     87,                0.97139,                0.74541,                  1.184,                0.89911,                0.92471,                0.95349,                0.74269,                0.85242,                0.45644,                 1.1285,               0.005743,               0.005743,               0.005743
                     88,                0.97519,                0.74398,                 1.1867,                0.90041,                  0.925,                 0.9539,                0.74354,                0.85075,                0.45497,                 1.1275,              0.0056935,              0.0056935,              0.0056935
                     89,                 0.9735,                0.74567,                 1.1864,                0.90135,                0.92431,                0.95429,                0.74439,                0.84922,                0.45383,                 1.1265,               0.005644,               0.005644,               0.005644
                     90,                0.97388,                0.74854,                 1.1824,                0.90081,                 0.9257,                0.95469,                0.74532,                0.84776,                0.45265,                 1.1252,              0.0055945,              0.0055945,              0.0055945
                     91,                0.97202,                0.74172,                 1.1857,                0.90196,                0.92561,                0.95505,                0.74602,                0.84654,                0.45172,                 1.1245,               0.005545,               0.005545,               0.005545
